over1717.1710_UHM102.10840__k141_51827_1	K18555
overctl.1717_UHM17.35739__k141_93487_219	NA
overctl.1717_UHM17.35739__k141_64696_20	NA
overctl.1717_UHM17.35739__k141_93920_21	K03497
overctl.1717_UHM17.35739__k141_93920_53	NA
overctl.1717_UHM17.35739__k141_2755_30	NA
overctl.1717_UHM17.35739__k141_5195_29	K07105
overctl.1717_UHM17.35740__k141_53389_6	NA
overctl.1717_UHM17.35740__k141_159976_91	NA
overctl.1717_UHM17.35740__k141_6230_32	NA
overctl.1717_UHM17.35740__k141_130648_70	K01868
overctl.1717_UHM17.35740__k141_118700_18	NA
overctl.1717_UHM17.35740__k141_118700_50	NA
overctl.1717_UHM17.35740__k141_30056_14	NA
overctl.1717_UHM17.35740__k141_95120_53	K18991
overctl.1717_UHM17.35740__k141_95120_85	K18138
overctl.1717_UHM17.35740__k141_95120_85	K18296
overctl.1717_UHM17.35740__k141_142686_64	NA
overctl.1717_UHM17.35740__k141_24569_8	NA
overctl.1717_UHM17.35740__k141_90056_23	NA
overctl.1717_UHM17.35740__k141_36621_38	K01998
overctl.1717_UHM17.35740__k141_36621_230	K04110
overctl.1717_UHM17.35740__k141_36621_262	K00799
overctl.1717_UHM17.35740__k141_36621_294	K07795
overctl.1717_UHM17.35740__k141_30776_17	NA
overctl.1717_UHM17.35740__k141_149187_42	K11690
overctl.1717_UHM17.35740__k141_85011_3	NA
overctl.1717_UHM17.35740__k141_85245_57	K02435
overctl.1717_UHM17.35740__k141_85245_89	K07258
overctl.1717_UHM17.35740__k141_144147_9	NA
overctl.1717_UHM17.35740__k141_144147_41	NA
overctl.1717_UHM17.35740__k141_149550_15	K17737
overctl.1717_UHM17.35740__k141_173293_15	K00615
overctl.1717_UHM17.35740__k141_173293_143	K02609
overctl.1717_UHM17.35740__k141_109697_30	NA
overctl.1717_UHM17.35740__k141_68014_19	NA
overctl.1717_UHM17.35740__k141_68014_51	NA
overctl.1717_UHM17.35740__k141_132604_10	K11475
overctl.1717_UHM17.35740__k141_132604_106	K20971
overctl.1717_UHM17.35740__k141_132604_202	K01997
overctl.1717_UHM17.35740__k141_132604_234	NA
overctl.1717_UHM17.35740__k141_61772_238	K06895
overctl.1717_UHM17.35740__k141_50615_236	K07506
overctl.1717_UHM17.35740__k141_50615_268	K00334
overctl.1717_UHM17.35740__k141_50615_364	K13021
overctl.1717_UHM17.35740__k141_50615_396	K02316
overctl.1717_UHM17.35740__k141_50615_428	K04088
overctl.1717_UHM17.35740__k141_50615_652	NA
overctl.1717_UHM17.35740__k141_150247_136	NA
overctl.1717_UHM17.35740__k141_98875_20	K07795
overctl.1717_UHM17.35740__k141_104911_14	NA
overctl.1717_UHM17.35740__k141_104911_46	NA
overctl.1717_UHM17.35740__k141_187087_4	K00297
overctl.1717_UHM17.35740__k141_87012_4	K12410
overctl.1717_UHM17.35740__k141_87012_68	NA
overctl.1717_UHM17.35740__k141_69682_46	K02003
overctl.1717_UHM17.35740__k141_69682_46	K19083
overctl.1717_UHM17.35740__k141_69682_78	NA
overctl.1717_UHM17.35740__k141_39784_17	K04486
overctl.1717_UHM17.35740__k141_106472_13	NA
overctl.1717_UHM17.35740__k141_141880_98	NA
overctl.1717_UHM17.35740__k141_23576_86	K01933
overctl.1717_UHM17.35740__k141_146984_126	NA
overctl.1717_UHM17.35740__k141_159242_36	K25227
overctl.1717_UHM17.35740__k141_53083_30	K02670
overctl.1717_UHM18.10827__k141_9178_117	NA
overctl.1717_UHM18.10827__k141_35689_91	NA
overctl.1717_UHM18.10827__k141_35689_155	NA
overctl.1717_UHM18.10827__k141_18448_32	K18350
overctl.1717_UHM18.10827__k141_18448_64	NA
overctl.1717_UHM18.10827__k141_18448_96	K04068
overctl.1717_UHM18.10827__k141_27429_12	NA
overctl.1717_UHM18.10827__k141_27429_44	K03481
overctl.1717_UHM18.10827__k141_23948_1	NA
overctl.1717_UHM18.10827__k141_108266_5	K23675
overctl.1717_UHM18.10827__k141_27753_239	K06871
overctl.1717_UHM18.10827__k141_6763_5	K03665
overctl.1717_UHM18.10827__k141_46537_2	K02624
overctl.1717_UHM18.10827__k141_79192_2	NA
overctl.1717_UHM18.10827__k141_96601_29	NA
overctl.1717_UHM18.10827__k141_92882_9	NA
overctl.1717_UHM18.10827__k141_17494_20	NA
overctl.1717_UHM18.10827__k141_62008_12	NA
overctl.1717_UHM18.35741__k141_76884_2	K01799
overctl.1717_UHM18.35741__k141_40855_2	K01835
overctl.1717_UHM18.35741__k141_90581_2	K00067
overctl.1717_UHM18.35741__k141_86125_18	K01258
overctl.1717_UHM18.35741__k141_86125_50	K02750
overctl.1717_UHM18.35741__k141_72749_1	NA
overctl.1717_UHM18.35741__k141_90741_2	K00616
overctl.1717_UHM18.35741__k141_95127_3	K03590
overctl.1717_UHM18.35741__k141_45935_132	K03571
overctl.1717_UHM18.35741__k141_95619_23	K01620
overctl.1717_UHM18.35741__k141_105104_17	K03501
overctl.1717_UHM18.35741__k141_86891_4	K06207
overctl.1717_UHM18.35741__k141_55222_6	NA
overctl.1717_UHM18.35741__k141_91515_2	K01624
overctl.1717_UHM18.35741__k141_55754_3	NA
overctl.1717_UHM18.35741__k141_46556_2	K07106
overctl.1717_UHM18.35741__k141_50857_1	NA
overctl.1717_UHM18.35741__k141_33195_5	K07816
overctl.1717_UHM18.35741__k141_83437_42	K00297
overctl.1717_UHM18.35741__k141_6284_3	K02564
overctl.1717_UHM18.35741__k141_11559_1	K02879
overctl.1717_UHM18.35741__k141_24162_2	K00294
overctl.1717_UHM18.35741__k141_33825_1	K06168
overctl.1717_UHM18.35741__k141_71178_6	K19167
overctl.1717_UHM18.35741__k141_25044_24	K07133
overctl.1717_UHM18.35741__k141_25044_184	K05937
overctl.1717_UHM18.35741__k141_34877_30	NA
overctl.1717_UHM18.35741__k141_85586_4	K02469
overctl.1717_UHM18.35741__k141_139778_26	K09702
overctl.1717_UHM18.35741__k141_53209_1	K03705
overctl.1717_UHM18.35741__k141_9036_4	NA
overctl.1717_UHM18.35742__k141_20882_4	K01726
overctl.1717_UHM18.35742__k141_103447_189	K01928
overctl.1717_UHM18.35742__k141_69108_4	K00937
overctl.1717_UHM18.35742__k141_28005_52	K03543
overctl.1717_UHM18.35742__k141_28005_180	K01963
overctl.1717_UHM18.35742__k141_28005_212	K10764
overctl.1717_UHM18.35742__k141_28005_244	K06894
overctl.1717_UHM18.35742__k141_131634_2	NA
overctl.1717_UHM18.35742__k141_152342_3	K00344
overctl.1717_UHM18.35742__k141_111597_2	K03624
overctl.1717_UHM18.35742__k141_180476_18	NA
overctl.1717_UHM18.35742__k141_104704_1	K09748
overctl.1717_UHM18.35742__k141_42379_123	K00239
overctl.1717_UHM18.35742__k141_77420_4	K02501
overctl.1717_UHM18.35742__k141_215343_5	NA
overctl.1717_UHM18.35742__k141_201778_2	K02027
overctl.1717_UHM18.35742__k141_201778_2	K05813
overctl.1717_UHM18.35742__k141_78094_8	K02460
overctl.1717_UHM18.35742__k141_57504_5	K07043
overctl.1717_UHM18.35742__k141_133855_3	K02343
overctl.1717_UHM18.35742__k141_78444_2	K03832
overctl.1717_UHM18.35742__k141_215974_22	K01190
overctl.1717_UHM18.35742__k141_50369_120	K01657
overctl.1717_UHM18.35742__k141_50369_184	K21572
overctl.1717_UHM18.35742__k141_195101_3	NA
overctl.1717_UHM18.35742__k141_16440_55	NA
overctl.1717_UHM18.35742__k141_16440_151	NA
overctl.1717_UHM18.35742__k141_119751_2	K04485
overctl.1717_UHM18.35742__k141_106287_1	K19222
overctl.1717_UHM18.35742__k141_208893_2	NA
overctl.1717_UHM18.35742__k141_100004_24	NA
overctl.1717_UHM18.35742__k141_50762_19	NA
overctl.1717_UHM18.35742__k141_17056_2	K00344
overctl.1717_UHM18.35742__k141_106614_1	K07101
overctl.1717_UHM18.35742__k141_175814_5	K13635
overctl.1717_UHM18.35742__k141_51170_3	K02672
overctl.1717_UHM18.35742__k141_92983_382	K00259
overctl.1717_UHM18.35742__k141_92983_382	K00324
overctl.1717_UHM18.35742__k141_120536_6	K02926
overctl.1717_UHM18.35742__k141_51435_3	NA
overctl.1717_UHM18.35742__k141_120608_67	K01745
overctl.1717_UHM18.35742__k141_101348_2	NA
overctl.1717_UHM18.35742__k141_44982_3	K06938
overctl.1717_UHM18.35742__k141_38761_2	K23779
overctl.1717_UHM18.35742__k141_136531_110	K01752
overctl.1717_UHM18.35742__k141_128627_2	NA
overctl.1717_UHM18.35742__k141_60731_4	K01961
overctl.1717_UHM18.35742__k141_6086_14	NA
overctl.1717_UHM18.35742__k141_81472_1	K06978
overctl.1717_UHM18.35742__k141_61180_2	NA
overctl.1717_UHM18.35742__k141_95405_2	K01999
overctl.1717_UHM18.35742__k141_158004_2	K02014
overctl.1717_UHM18.35742__k141_158004_2	K16089
overctl.1717_UHM18.35742__k141_178673_2	K04754
overctl.1717_UHM18.35742__k141_40498_2	K10126
overctl.1717_UHM18.35742__k141_40498_2	K17061
overctl.1717_UHM18.35742__k141_163844_3	K13928
overctl.1717_UHM18.35742__k141_123657_2	K03719
overctl.1717_UHM18.35742__k141_54383_237	NA
overctl.1717_UHM20.10828__k141_139715_7	K03519
overctl.1717_UHM20.10828__k141_127993_11	K00666
overctl.1717_UHM20.10828__k141_139771_3	K07646
overctl.1717_UHM20.10828__k141_110696_22	NA
overctl.1717_UHM20.10828__k141_163159_8	NA
overctl.1717_UHM20.10828__k141_6321_2	NA
overctl.1717_UHM20.10828__k141_122473_3	NA
overctl.1717_UHM20.10828__k141_134190_2	NA
overctl.1717_UHM20.10828__k141_128440_13	K01011
overctl.1717_UHM20.10828__k141_81999_5	K02014
overctl.1717_UHM20.10828__k141_35501_6	NA
overctl.1717_UHM20.10828__k141_128554_13	K00058
overctl.1717_UHM20.10828__k141_128607_3	K07795
overctl.1717_UHM20.10828__k141_52866_40	NA
overctl.1717_UHM20.10828__k141_35640_22	K00406
overctl.1717_UHM20.10828__k141_35640_54	K22025
overctl.1717_UHM20.10828__k141_122784_3	K02011
overctl.1717_UHM20.10828__k141_93943_2	K03814
overctl.1717_UHM20.10828__k141_29958_9	K01561
overctl.1717_UHM20.10828__k141_181233_8	NA
overctl.1717_UHM20.10828__k141_111504_12	K19804
overctl.1717_UHM20.10828__k141_100103_12	K10806
overctl.1717_UHM20.10828__k141_82397_6	NA
overctl.1717_UHM20.10828__k141_18213_30	K24138
overctl.1717_UHM20.10828__k141_175235_11	K03671
overctl.1717_UHM20.10828__k141_175235_11	K03672
overctl.1717_UHM20.10828__k141_53462_5	K06415
overctl.1717_UHM20.10828__k141_18341_15	K01262
overctl.1717_UHM20.10828__k141_106107_15	NA
overctl.1717_UHM20.10828__k141_100384_11	NA
overctl.1717_UHM20.10828__k141_164443_11	K03527
overctl.1717_UHM20.10828__k141_175636_11	K02017
overctl.1717_UHM20.10828__k141_65505_2	K20940
overctl.1717_UHM20.10828__k141_100469_2	K05555
overctl.1717_UHM20.10828__k141_164501_10	K01464
overctl.1717_UHM20.10828__k141_100647_7	K01007
overctl.1717_UHM20.10828__k141_43288_4	K21010
overctl.1717_UHM20.10828__k141_112240_10	NA
overctl.1717_UHM20.10828__k141_176101_11	K20862
overctl.1717_UHM20.10828__k141_147017_14	NA
overctl.1717_UHM20.10828__k141_89586_11	K23163
overctl.1717_UHM20.10828__k141_141479_6	NA
overctl.1717_UHM20.10828__k141_13743_59	K00982
overctl.1717_UHM20.10828__k141_136128_5	K03408
overctl.1717_UHM20.10828__k141_183492_2	K03798
overctl.1717_UHM20.10828__k141_55891_5	NA
overctl.1717_UHM20.10828__k141_84816_23	K07795
overctl.1717_UHM20.10828__k141_26322_8	K02483
overctl.1717_UHM20.10828__k141_26322_8	K03413
overctl.1717_UHM20.10828__k141_26322_8	K18144
overctl.1717_UHM20.10828__k141_101661_9	K03585
overctl.1717_UHM20.10828__k141_101661_9	K18901
overctl.1717_UHM20.10828__k141_26571_4	K10536
overctl.1717_UHM20.10828__k141_126483_3	K13021
overctl.1717_UHM20.10828__k141_109106_12	K02839
overctl.1717_UHM20.10828__k141_155076_3	NA
overctl.1717_UHM20.10828__k141_46488_3	NA
overctl.1717_UHM20.10828__k141_151075_11	K01998
overctl.1717_UHM20.10828__k141_104439_3	K07708
overctl.1717_UHM20.35743__k141_49705_9	K07039
overctl.1717_UHM20.35743__k141_53899_33	K01589
overctl.1717_UHM20.35743__k141_53899_97	NA
overctl.1717_UHM20.35743__k141_57997_4	K07795
overctl.1717_UHM20.35743__k141_66364_23	NA
overctl.1717_UHM20.35743__k141_120164_15	K21645
overctl.1717_UHM20.35743__k141_120164_143	K03719
overctl.1717_UHM20.35743__k141_87144_4	K13788
overctl.1717_UHM20.35743__k141_418_5	K01599
overctl.1717_UHM20.35743__k141_120168_65	K02398
overctl.1717_UHM20.35743__k141_16821_214	K01895
overctl.1717_UHM20.35743__k141_25221_25	NA
overctl.1717_UHM20.35743__k141_58339_36	K06872
overctl.1717_UHM20.35743__k141_29810_19	K01069
overctl.1717_UHM20.35743__k141_1071_18	NA
overctl.1717_UHM20.35743__k141_1071_82	K02005
overctl.1717_UHM20.35743__k141_1071_82	K13888
overctl.1717_UHM20.35743__k141_58631_14	K18208
overctl.1717_UHM20.35743__k141_58631_78	K01807
overctl.1717_UHM20.35743__k141_58631_110	K03296
overctl.1717_UHM20.35743__k141_58631_142	K18030
overctl.1717_UHM20.35743__k141_58631_174	NA
overctl.1717_UHM20.35743__k141_75397_31	K07152
overctl.1717_UHM20.35743__k141_75397_63	K02071
overctl.1717_UHM20.35743__k141_75397_63	K02072
overctl.1717_UHM20.35743__k141_13256_2	K02863
overctl.1717_UHM20.35743__k141_25715_26	K07795
overctl.1717_UHM20.35743__k141_30139_37	NA
overctl.1717_UHM20.35743__k141_30139_69	K05603
overctl.1717_UHM20.35743__k141_46841_1	K03624
overctl.1717_UHM20.35743__k141_84010_23	K02837
overctl.1717_UHM20.35743__k141_30302_18	K03500
overctl.1717_UHM20.35743__k141_125504_86	K01784
overctl.1717_UHM20.35743__k141_104804_149	K02470
overctl.1717_UHM20.35743__k141_104804_181	K01167
overctl.1717_UHM20.35743__k141_67363_2	NA
overctl.1717_UHM20.35743__k141_38984_7	K03497
overctl.1717_UHM20.35743__k141_72158_153	NA
overctl.1717_UHM20.35743__k141_30888_13	NA
overctl.1717_UHM20.35743__k141_76264_59	K07054
overctl.1717_UHM20.35743__k141_76264_91	K10763
overctl.1717_UHM20.35743__k141_105268_289	K00626
overctl.1717_UHM20.35743__k141_105268_289	K00632
overctl.1717_UHM20.35743__k141_105268_321	K02027
overctl.1717_UHM20.35743__k141_105268_321	K10227
overctl.1717_UHM20.35743__k141_68337_10	K01866
overctl.1717_UHM20.35743__k141_68337_42	NA
overctl.1717_UHM20.35743__k141_68341_128	K14267
overctl.1717_UHM20.35743__k141_117686_12	K07090
overctl.1717_UHM20.35743__k141_117686_44	K01919
overctl.1717_UHM20.35743__k141_89427_132	NA
overctl.1717_UHM20.35743__k141_89427_164	K20034
overctl.1717_UHM20.35743__k141_89427_196	K03387
overctl.1717_UHM20.35743__k141_89427_228	K13038
overctl.1717_UHM20.35743__k141_89427_260	K18902
overctl.1717_UHM20.35743__k141_89427_292	K00343
overctl.1717_UHM20.35743__k141_76825_67	K21573
overctl.1717_UHM20.35743__k141_130549_1	NA
overctl.1717_UHM20.35743__k141_4006_24	K15987
overctl.1717_UHM20.35743__k141_18824_350	K02014
overctl.1717_UHM20.35743__k141_27200_358	K06182
overctl.1717_UHM20.35743__k141_40957_39	K21573
overctl.1717_UHM20.35743__k141_32571_212	NA
overctl.1717_UHM20.35743__k141_8237_27	K01875
overctl.1717_UHM20.35743__k141_8237_59	K06373
overctl.1717_UHM20.35743__k141_8237_59	K06374
overctl.1717_UHM20.35743__k141_15217_7	K00602
overctl.1717_UHM20.35743__k141_24201_95	K02071
overctl.1717_UHM20.35743__k141_57901_20	K03327
overctl.1717_UHM20.35744__k141_52550_60	K11414
overctl.1717_UHM20.35744__k141_85436_53	NA
overctl.1717_UHM20.35744__k141_131702_59	NA
overctl.1717_UHM20.35744__k141_158037_44	K06134
overctl.1717_UHM20.35744__k141_79238_37	K01995
overctl.1717_UHM20.35744__k141_151505_49	K02066
overctl.1717_UHM20.35744__k141_943_67	NA
overctl.1717_UHM20.35744__k141_118524_342	K09955
overctl.1717_UHM20.35744__k141_118524_374	NA
overctl.1717_UHM20.35744__k141_40890_128	NA
overctl.1717_UHM20.35744__k141_46800_61	NA
overctl.1717_UHM20.35744__k141_46800_93	NA
overctl.1717_UHM20.35744__k141_14063_32	K04090
overctl.1717_UHM20.35744__k141_14063_128	K02483
overctl.1717_UHM20.35744__k141_14063_128	K07666
overctl.1717_UHM20.35744__k141_145271_58	K03694
overctl.1717_UHM20.35744__k141_145271_90	NA
overctl.1717_UHM20.35744__k141_204584_49	K07277
overctl.1717_UHM20.35744__k141_204584_81	NA
overctl.1717_UHM20.35744__k141_204584_209	K01520
overctl.1717_UHM20.35744__k141_204584_337	K02990
overctl.1717_UHM20.35744__k141_204584_369	K03685
overctl.1717_UHM20.35744__k141_204584_561	K08310
overctl.1717_UHM20.35744__k141_204584_593	K03979
overctl.1717_UHM20.35744__k141_204584_753	NA
overctl.1717_UHM20.35744__k141_178324_76	K02417
overctl.1717_UHM20.35744__k141_132790_3	K19304
overctl.1717_UHM20.35744__k141_80465_1	K00962
overctl.1717_UHM20.35744__k141_80465_97	NA
overctl.1717_UHM20.35744__k141_205382_34	K01113
overctl.1717_UHM20.35744__k141_191945_154	NA
overctl.1717_UHM20.35744__k141_191945_186	K24847
overctl.1717_UHM20.35744__k141_87145_26	K01811
overctl.1717_UHM20.35744__k141_94007_81	K02073
overctl.1717_UHM20.35744__k141_173038_40	NA
overctl.1717_UHM20.35744__k141_28407_17	K07795
overctl.1717_UHM20.35744__k141_153702_52	K01745
overctl.1717_UHM20.35744__k141_134037_95	NA
overctl.1717_UHM20.35744__k141_187648_15	NA
overctl.1717_UHM20.35744__k141_69579_146	K05916
overctl.1717_UHM20.35744__k141_69579_242	K07795
overctl.1717_UHM20.35744__k141_167735_23	NA
overctl.1717_UHM20.35744__k141_200895_59	NA
overctl.1717_UHM20.35744__k141_200895_123	K06183
overctl.1717_UHM20.35744__k141_155084_335	K02931
overctl.1717_UHM20.35744__k141_89580_64	K07795
overctl.1717_UHM20.35744__k141_89580_128	NA
overctl.1717_UHM20.35744__k141_89580_192	K02483
overctl.1717_UHM20.35744__k141_89580_192	K07664
overctl.1717_UHM20.35744__k141_181303_94	NA
overctl.1717_UHM20.35744__k141_110163_144	K06911
overctl.1717_UHM20.35744__k141_110163_208	NA
overctl.1717_UHM20.35744__k141_110163_272	NA
overctl.1717_UHM20.35744__k141_83286_17	K13796
overctl.1717_UHM20.35744__k141_83286_49	NA
overctl.1717_UHM20.35744__k141_175877_2	NA
overctl.1717_UHM20.35744__k141_136002_3	K02500
overctl.1717_UHM20.35744__k141_77342_161	K00024
overctl.1717_UHM20.35744__k141_183793_14	K02355
overctl.1717_UHM20.35744__k141_183793_46	K00281
overctl.1717_UHM22.35745__k141_28845_2	K03284
overctl.1717_UHM22.35745__k141_90391_3	NA
overctl.1717_UHM22.35745__k141_78096_2	K04033
overctl.1717_UHM22.35745__k141_61701_17	K00145
overctl.1717_UHM22.35745__k141_119095_7	NA
overctl.1717_UHM22.35745__k141_82245_16	NA
overctl.1717_UHM22.35745__k141_69874_5	K02199
overctl.1717_UHM22.35745__k141_33154_7	K03438
overctl.1717_UHM22.35745__k141_86781_18	K00684
overctl.1717_UHM22.35745__k141_57905_21	NA
overctl.1717_UHM22.35745__k141_124090_3	K00925
overctl.1717_UHM22.35745__k141_62041_28	K02387
overctl.1717_UHM22.35745__k141_99001_5	NA
overctl.1717_UHM22.35745__k141_99001_37	K07712
overctl.1717_UHM22.35745__k141_90575_209	K03657
overctl.1717_UHM22.35745__k141_90575_529	K15727
overctl.1717_UHM22.35745__k141_87126_3	NA
overctl.1717_UHM22.35745__k141_75016_16	K00647
overctl.1717_UHM22.35745__k141_78462_91	K05366
overctl.1717_UHM22.35745__k141_115949_11	K01755
overctl.1717_UHM22.35745__k141_25645_16	NA
overctl.1717_UHM22.35745__k141_54381_6	K07045
overctl.1717_UHM22.35745__k141_95677_7	NA
overctl.1717_UHM22.35745__k141_38263_11	NA
overctl.1717_UHM22.35745__k141_79178_4	K10979
overctl.1717_UHM22.35745__k141_54695_226	K01887
overctl.1717_UHM22.35745__k141_54695_290	NA
overctl.1717_UHM22.35745__k141_5385_19	K09458
overctl.1717_UHM22.35745__k141_58832_17	K07795
overctl.1717_UHM22.35745__k141_120735_6	NA
overctl.1717_UHM22.35745__k141_88371_115	NA
overctl.1717_UHM22.35745__k141_88371_147	K15726
overctl.1717_UHM22.35745__k141_9603_2	NA
overctl.1717_UHM22.35745__k141_50516_364	K00626
overctl.1717_UHM22.35745__k141_50516_364	K00632
overctl.1717_UHM22.35745__k141_104311_2	NA
overctl.1717_UHM22.35745__k141_10271_3	K03801
overctl.1717_UHM22.35745__k141_122205_16	NA
overctl.1717_UHM22.35745__k141_71933_19	K03607
overctl.1717_UHM22.35745__k141_113339_8	NA
overctl.1717_UHM22.35745__k141_77793_126	NA
overctl.1717_UHM22.35745__k141_77793_158	K00691
overctl.1717_UHM22.35745__k141_3878_5	NA
overctl.1717_UHM22.35745__k141_101221_50	K21573
overctl.1717_UHM22.35745__k141_101221_434	K01883
overctl.1717_UHM22.35745__k141_44346_8	K02404
overctl.1717_UHM22.35745__k141_44698_2	K03320
overctl.1717_UHM22.35745__k141_60579_272	NA
overctl.1717_UHM22.35745__k141_60580_19	K02933
overctl.1717_UHM22.35745__k141_51983_3	K00626
overctl.1717_UHM22.35745__k141_45112_10	K03336
overctl.1717_UHM22.35745__k141_57405_13	K02276
overctl.1717_UHM22.35746__k141_149229_66	K01247
overctl.1717_UHM22.35746__k141_105962_3	K01295
overctl.1717_UHM22.35746__k141_43465_6	K01999
overctl.1717_UHM22.35746__k141_86827_12	K14415
overctl.1717_UHM22.35746__k141_72325_20	NA
overctl.1717_UHM22.35746__k141_91642_2	NA
overctl.1717_UHM22.35746__k141_4905_5	NA
overctl.1717_UHM22.35746__k141_91739_42	K18138
overctl.1717_UHM22.35746__k141_67538_13	K01126
overctl.1717_UHM22.35746__k141_120630_3	NA
overctl.1717_UHM22.35746__k141_57914_6	K07795
overctl.1717_UHM22.35746__k141_19642_11	K02012
overctl.1717_UHM22.35746__k141_19642_11	K08478
overctl.1717_UHM22.35746__k141_135668_7	K02003
overctl.1717_UHM22.35746__k141_135668_7	K02004
overctl.1717_UHM22.35746__k141_135668_7	K05685
overctl.1717_UHM22.35746__k141_67952_14	NA
overctl.1717_UHM22.35746__k141_140338_11	K01256
overctl.1717_UHM22.35746__k141_34131_8	NA
overctl.1717_UHM22.35746__k141_67970_17	K00817
overctl.1717_UHM22.35746__k141_111427_12	K07220
overctl.1717_UHM22.35746__k141_135964_32	NA
overctl.1717_UHM22.35746__k141_145228_17	K03702
overctl.1717_UHM22.35746__k141_10104_438	K12257
overctl.1717_UHM22.35746__k141_10104_534	K03702
overctl.1717_UHM22.35746__k141_63643_6	K03524
overctl.1717_UHM22.35746__k141_20630_43	K00625
overctl.1717_UHM22.35746__k141_145477_10	K15512
overctl.1717_UHM22.35746__k141_145496_18	K02012
overctl.1717_UHM22.35746__k141_58483_7	NA
overctl.1717_UHM22.35746__k141_101768_47	NA
overctl.1717_UHM22.35746__k141_6391_17	K02415
overctl.1717_UHM22.35746__k141_77848_10	K00029
overctl.1717_UHM22.35746__k141_111883_17	K00799
overctl.1717_UHM22.35746__k141_54517_293	NA
overctl.1717_UHM22.35746__k141_97825_29	K00525
overctl.1717_UHM22.35746__k141_97825_93	K05989
overctl.1717_UHM22.35746__k141_15455_201	K06020
overctl.1717_UHM22.35746__k141_21091_4	K09807
overctl.1717_UHM22.35746__k141_6731_16	NA
overctl.1717_UHM22.35746__k141_73847_12	K19746
overctl.1717_UHM22.35746__k141_131809_103	NA
overctl.1717_UHM22.35746__k141_55676_39	K00853
overctl.1717_UHM22.35746__k141_74181_6	NA
overctl.1717_UHM22.35746__k141_31215_4	K02825
overctl.1717_UHM22.35746__k141_31913_10	NA
overctl.1717_UHM22.35746__k141_60252_4	K07795
overctl.1717_UHM22.35746__k141_137636_10	K00598
overctl.1717_UHM22.35746__k141_40964_3	K12685
overctl.1717_UHM22.35746__k141_40964_3	K19231
overctl.1717_UHM22.35746__k141_148390_2	NA
overctl.1717_UHM22.35746__k141_12257_16	NA
overctl.1717_UHM22.35746__k141_66824_62	K03455
overctl.1717_UHM22.35746__k141_129522_4	K06989
overctl.1717_UHM22.35747__k141_75775_3	NA
overctl.1717_UHM22.35747__k141_63902_31	NA
overctl.1717_UHM22.35747__k141_4102_11	K18029
overctl.1717_UHM22.35747__k141_115826_6	NA
overctl.1717_UHM22.35747__k141_20050_44	NA
overctl.1717_UHM22.35747__k141_87933_2	K02653
overctl.1717_UHM22.35747__k141_40247_15	K01679
overctl.1717_UHM22.35747__k141_360_182	K02010
overctl.1717_UHM22.35747__k141_80409_24	NA
overctl.1717_UHM22.35747__k141_124149_6	NA
overctl.1717_UHM22.35747__k141_12708_33	K00003
overctl.1717_UHM22.35747__k141_12729_8	K01690
overctl.1717_UHM22.35747__k141_112064_23	K21009
overctl.1717_UHM22.35747__k141_40454_8	K01990
overctl.1717_UHM22.35747__k141_4689_28	NA
overctl.1717_UHM22.35747__k141_4689_60	K02232
overctl.1717_UHM22.35747__k141_92446_7	K22310
overctl.1717_UHM22.35747__k141_28588_22	NA
overctl.1717_UHM22.35747__k141_9378_24	K20035
overctl.1717_UHM22.35747__k141_77046_1	K01885
overctl.1717_UHM22.35747__k141_20860_22	NA
overctl.1717_UHM22.35747__k141_20860_86	K03457
overctl.1717_UHM22.35747__k141_1476_28	NA
overctl.1717_UHM22.35747__k141_73293_8	K01426
overctl.1717_UHM22.35747__k141_73293_8	K02433
overctl.1717_UHM22.35747__k141_56395_129	NA
overctl.1717_UHM22.35747__k141_56395_577	NA
overctl.1717_UHM22.35747__k141_120975_3	NA
overctl.1717_UHM22.35747__k141_52536_150	K06013
overctl.1717_UHM22.35747__k141_52536_182	K00507
overctl.1717_UHM22.35747__k141_52536_246	K00948
overctl.1717_UHM22.35747__k141_52536_278	K05813
overctl.1717_UHM22.35747__k141_37356_57	K02016
overctl.1717_UHM22.35747__k141_117144_35	K00249
overctl.1717_UHM22.35747__k141_117144_35	K06446
overctl.1717_UHM22.35747__k141_56604_7	K02945
overctl.1717_UHM22.35747__k141_101285_56	K02523
overctl.1717_UHM22.35747__k141_101285_184	K03977
overctl.1717_UHM22.35747__k141_125131_2	K02614
overctl.1717_UHM22.35747__k141_2351_21	K08483
overctl.1717_UHM22.35747__k141_56704_44	K05349
overctl.1717_UHM22.35747__k141_56704_268	NA
overctl.1717_UHM22.35747__k141_45611_7	K18575
overctl.1717_UHM22.35747__k141_53132_6	K01816
overctl.1717_UHM22.35747__k141_18184_2	K02664
overctl.1717_UHM22.35747__k141_34237_79	NA
overctl.1717_UHM22.35747__k141_29448_30	K21679
overctl.1717_UHM22.35747__k141_94586_16	K03665
overctl.1717_UHM22.35747__k141_97849_1	K07124
overctl.1717_UHM22.35747__k141_57719_15	NA
overctl.1717_UHM22.35747__k141_24731_171	K02003
overctl.1717_UHM22.35747__k141_24731_491	NA
overctl.1717_UHM22.35747__k141_106526_66	NA
overctl.1717_UHM22.35747__k141_42361_189	NA
overctl.1717_UHM22.35747__k141_42361_413	K01687
overctl.1717_UHM22.35747__k141_30958_7	NA
overctl.1717_UHM22.35747__k141_43273_9	K00600
